model,period,target,capacity,rows,selected,true_positives_selected,precision,recall,prevalence,lift
extended_boosting,2025-08,responded_strict,0.01,2012,21,7,0.3333333333333333,0.04794520547945205,0.07256461232604373,4.593607305936073
extended_boosting,2025-08,responded_strict,0.02,2012,41,12,0.2926829268292683,0.0821917808219178,0.07256461232604373,4.03341129301704
extended_boosting,2025-08,responded_strict,0.03,2012,61,18,0.29508196721311475,0.1232876712328767,0.07256461232604373,4.066472041320458
extended_boosting,2025-08,responded_strict,0.04,2012,81,23,0.2839506172839506,0.15753424657534246,0.07256461232604373,3.91307289024184
extended_boosting,2025-08,responded_strict,0.05,2012,101,28,0.27722772277227725,0.1917808219178082,0.07256461232604373,3.8204258782042593
extended_boosting,2025-08,responded_strict,0.06,2012,121,30,0.24793388429752067,0.2054794520547945,0.07256461232604373,3.4167327068946
extended_boosting,2025-08,responded_strict,0.07,2012,141,36,0.2553191489361702,0.2465753424657534,0.07256461232604373,3.5185077236957154
extended_boosting,2025-08,responded_strict,0.08,2012,161,41,0.2546583850931677,0.2808219178082192,0.07256461232604373,3.509401854845571
extended_boosting,2025-08,responded_strict,0.09,2012,182,44,0.24175824175824176,0.3013698630136986,0.07256461232604373,3.3316272768327564
extended_boosting,2025-08,responded_strict,0.1,2012,202,47,0.23267326732673269,0.3219178082191781,0.07256461232604373,3.206428862064289
extended_boosting,2025-08,responded_strict,0.11,2012,222,50,0.22522522522522523,0.3424657534246575,0.07256461232604373,3.1037887202270764
extended_boosting,2025-08,responded_strict,0.12,2012,242,54,0.2231404958677686,0.3698630136986301,0.07256461232604373,3.07505943620514
extended_boosting,2025-08,responded_strict,0.13,2012,262,56,0.21374045801526717,0.3835616438356164,0.07256461232604373,2.9455191885391616
extended_boosting,2025-08,responded_strict,0.14,2012,282,60,0.2127659574468085,0.410958904109589,0.07256461232604373,2.9320897697464297
extended_boosting,2025-08,responded_strict,0.15,2012,302,65,0.2152317880794702,0.4452054794520548,0.07256461232604373,2.966070942574617
extended_boosting,2025-08,responded_strict,0.16,2012,322,69,0.21428571428571427,0.4726027397260274,0.07256461232604373,2.9530332681017613
extended_boosting,2025-08,responded_strict,0.17,2012,343,71,0.20699708454810495,0.4863013698630137,0.07256461232604373,2.852589959662926
extended_boosting,2025-08,responded_strict,0.18,2012,363,73,0.20110192837465565,0.5,0.07256461232604373,2.7713498622589534
extended_boosting,2025-08,responded_strict,0.19,2012,383,75,0.195822454308094,0.5136986301369864,0.07256461232604373,2.6985943703279807
extended_boosting,2025-08,responded_strict,0.2,2012,403,77,0.19106699751861042,0.5273972602739726,0.07256461232604373,2.633060267174275
extended_boosting,2025-08,responded_strict,0.21,2012,423,79,0.1867612293144208,0.541095890410959,0.07256461232604373,2.573723242332977
extended_boosting,2025-08,responded_strict,0.22,2012,443,81,0.18284424379232506,0.5547945205479452,0.07256461232604373,2.519743962398343
extended_boosting,2025-08,responded_strict,0.23,2012,463,84,0.18142548596112312,0.5753424657534246,0.07256461232604373,2.500192313382053
extended_boosting,2025-08,responded_strict,0.24,2012,483,84,0.17391304347826086,0.5753424657534246,0.07256461232604373,2.3966646813579513
extended_boosting,2025-08,responded_strict,0.25,2012,503,85,0.16898608349900596,0.5821917808219178,0.07256461232604373,2.328767123287671
extended_boosting,2025-08,responded_strict,0.26,2012,524,87,0.16603053435114504,0.5958904109589042,0.07256461232604373,2.28803722681167
extended_boosting,2025-08,responded_strict,0.27,2012,544,88,0.16176470588235295,0.6027397260273972,0.07256461232604373,2.22925060435133
extended_boosting,2025-08,responded_strict,0.28,2012,564,92,0.16312056737588654,0.6301369863013698,0.07256461232604373,2.2479354901389295
extended_boosting,2025-08,responded_strict,0.29,2012,584,94,0.16095890410958905,0.6438356164383562,0.07256461232604373,2.2181459936198165
extended_boosting,2025-08,responded_strict,0.3,2012,604,94,0.15562913907284767,0.6438356164383562,0.07256461232604373,2.1446974507847227
extended_boosting,2025-08,responded_strict,0.31,2012,624,95,0.15224358974358973,0.6506849315068494,0.07256461232604373,2.098041798384264
extended_boosting,2025-08,responded_strict,0.32,2012,644,97,0.15062111801242237,0.6643835616438356,0.07256461232604373,2.0756828043903686
extended_boosting,2025-08,responded_strict,0.33,2012,664,98,0.14759036144578314,0.6712328767123288,0.07256461232604373,2.0339164878692855
extended_boosting,2025-08,responded_strict,0.34,2012,685,99,0.14452554744525548,0.678082191780822,0.07256461232604373,1.9916808319168084
extended_boosting,2025-08,responded_strict,0.35,2012,705,100,0.14184397163120568,0.684931506849315,0.07256461232604373,1.9547265131642866
extended_boosting,2025-08,responded_strict,0.36,2012,725,103,0.14206896551724138,0.7054794520547946,0.07256461232604373,1.9578271138403402
extended_boosting,2025-08,responded_strict,0.37,2012,745,105,0.14093959731543623,0.7191780821917808,0.07256461232604373,1.9422634917716282
extended_boosting,2025-08,responded_strict,0.38,2012,765,107,0.13986928104575164,0.7328767123287672,0.07256461232604373,1.927513653863372
extended_boosting,2025-08,responded_strict,0.39,2012,785,109,0.13885350318471337,0.7465753424657534,0.07256461232604373,1.9135154000523515
extended_boosting,2025-08,responded_strict,0.4,2012,805,110,0.13664596273291926,0.7534246575342466,0.07256461232604373,1.8830936782098189
extended_boosting,2025-08,responded_strict,0.41,2012,825,111,0.13454545454545455,0.7602739726027398,0.07256461232604373,1.8541469489414697
extended_boosting,2025-08,responded_strict,0.42,2012,846,112,0.13238770685579196,0.7671232876712328,0.07256461232604373,1.8244114122866673
extended_boosting,2025-08,responded_strict,0.43,2012,866,112,0.12933025404157045,0.7671232876712328,0.07256461232604373,1.7822771995317792
extended_boosting,2025-08,responded_strict,0.44,2012,886,114,0.12866817155756208,0.7808219178082192,0.07256461232604373,1.7731531587247598
extended_boosting,2025-08,responded_strict,0.45,2012,906,116,0.1280353200883002,0.7945205479452054,0.07256461232604373,1.7644319453264385
extended_boosting,2025-08,responded_strict,0.46,2012,926,119,0.1285097192224622,0.815068493150685,0.07256461232604373,1.7709695553122875
