selected_precision,baseline_precision,difference
0.26828727648884293,0.1755496445166905,0.09273763197215243
0.26725747770372515,0.17383850091760844,0.09341897678611671
0.2561576354679803,0.17733990147783252,0.0788177339901478
0.25577557755775576,0.17986798679867988,0.07590759075907588
0.25417026299350765,0.1764314877190241,0.07773877527448356
0.2595509695855126,0.17730220573491717,0.08224876385059543
0.27354533482904947,0.17465736721455397,0.0988879676144955
0.27220819280663455,0.1632545542621316,0.10895363854450296
0.2528735632183908,0.15763546798029557,0.0952380952380952
0.25491391503682387,0.15948072639776292,0.09543318863906095
0.2739273927392739,0.19966996699669967,0.07425742574257424
0.24882537514835226,0.18129867173909509,0.06752670340925718
0.2678768960639906,0.17177006616917848,0.09610682989481215
0.26329487018688075,0.17424011979126872,0.08905475039561203
0.26114479022518305,0.15415964952044323,0.10698514070473983
0.24209465281503517,0.15805817034905464,0.08403648246598053
0.2581898583947065,0.16283795867271456,0.09535189972199193
0.2685341764085974,0.18464328603288974,0.08389089037570766
0.258653205222,0.1549122892584825,0.10374091596351753
0.28255586752705125,0.17518841436382446,0.1073674531632268
0.25464281649839865,0.17842096278593378,0.07622185371246487
0.2988892375010606,0.17152992778874976,0.12735930971231085
0.2681152351688371,0.19076883057763905,0.07734640459119807
0.26440405234553305,0.15206968458039832,0.11233436776513472
0.24129451484702222,0.16577623424469365,0.07551828060232857
0.2700905558536149,0.17786827943878128,0.09222227641483363
0.22732445658358938,0.14162968020940025,0.08569477637418912
0.2616373577656273,0.19699357995501043,0.06464377781061686
0.2614260149075928,0.1758014236746337,0.08562459123295912
0.24178575493017282,0.16769903591344357,0.07408671901672925
0.2653514119884895,0.17304784665658687,0.09230356533190262
0.2537677413061503,0.16473199044042336,0.08903575086572696
0.27192768537937534,0.1977921930124047,0.07413549236697065
0.28619389032499315,0.17925831992066202,0.10693557040433113
0.2566006600660066,0.19524752475247523,0.0613531353135314
0.2678929657671649,0.17755452015789816,0.09033844560926677
0.27141556520184035,0.20388886179258323,0.06752670340925712
0.25947015883854396,0.17559537756151736,0.0838747812770266
0.29275868763346924,0.19730796609072673,0.0954507215427425
0.2811913544295606,0.15637740244612697,0.12481395198343365
0.2504064243642216,0.16812489277749185,0.08228153158672977
0.2882423710351331,0.1877530117543774,0.10048935928075572
0.27466996699669965,0.16722772277227724,0.10744224422442242
0.23605448780172134,0.13445609266809033,0.101598395133631
0.2669574949554363,0.16958720355529414,0.09737029140014217
0.29782832673299203,0.18823851379632314,0.10958981293666889
0.2376117914710374,0.1518832862626017,0.0857285052084357
0.24546001398169373,0.14492188135069664,0.10053813263099709
0.2808332050243563,0.18221205632588758,0.09862114869846875
0.2507888212756367,0.17699378602015522,0.07379503525548145
0.26070543159792653,0.18193599278791975,0.07876943881000678
0.2770012295347182,0.17693975279880927,0.1000614767359089
0.2615880991084183,0.1837019522847807,0.07788614682363759
0.24754497359889652,0.17835160473624012,0.0691933688626564
0.28616950364987237,0.19410167617746996,0.09206782747240241
0.22276786902276727,0.15525669543647255,0.06751117358629471
0.28085568393364985,0.2066984951887604,0.07415718874488944
0.27437072065415496,0.18350491765594468,0.09086580299821029
0.26341584158415843,0.16226072607260725,0.10115511551155118
0.2560566618817779,0.16262867955877014,0.09342798232300775
0.2837593479221461,0.21121663302276114,0.07254271489938494
0.2545237686771398,0.1736391931965787,0.08088457548056108
0.26846089150546676,0.17341503464295727,0.09504585686250949
0.2928189370661204,0.18421694386187384,0.10860199320424654
0.2714359671261244,0.17922086326279688,0.09221510386332751
0.28004031930286627,0.16643905769887332,0.11360126160399295
0.26885121864837885,0.1917479635532374,0.07710325509514146
0.26976540018533873,0.19082573281958737,0.07893966736575136
0.2916158610934985,0.16474824822383718,0.12686761286966133
0.27637028408723224,0.2006406523005242,0.07572963178670805
0.26349252572316056,0.18929981233417462,0.07419271338898595
0.2623762376237624,0.1551155115511551,0.10726072607260728
0.3038637956877079,0.19814553692704762,0.10571825876066027
0.24752475247524752,0.15346534653465346,0.09405940594059406
0.2628994354086234,0.1840483889014807,0.07885104650714272
0.2768131492952251,0.17464110943114017,0.10217203986408493
0.27346404591198037,0.18955762571331025,0.08390642019867012
0.18969035716894236,0.1533696601775463,0.03632069699139606
0.3081256401502219,0.18783430067144646,0.12029133947877546
0.2471264367816092,0.15483100034141345,0.09229543644019575
0.3021346469622332,0.2019704433497537,0.10016420361247949
0.2880858085808581,0.19526402640264026,0.09282178217821782
0.2573943570827671,0.1700100304148062,0.0873843266679609
0.2641451410783311,0.16839282266584132,0.09575231841248977
0.2845030808499569,0.17929896437919654,0.10520411647076036
0.2774038487592601,0.19972197572672493,0.07768187303253518
0.26163366336633664,0.20686468646864686,0.05476897689768978
0.2559352839923357,0.19815407024122747,0.05778121375110826
0.2541457954338924,0.17992788176692828,0.07421791366696409
0.27070483314782473,0.16001957890076193,0.1106852542470628
0.25024750060607465,0.15951812477121285,0.09072937583486179
0.25900705109630057,0.17211597282591196,0.08689107827038861
0.2491306867574616,0.17368556618049516,0.07544512057696645
0.2844624363914224,0.2088718724089158,0.07559056398250658
0.24221642680060532,0.14731639782349723,0.09490002897710809
0.26686338584597374,0.17954283113040367,0.08732055471557007
0.27505330490405117,0.1761390093865647,0.09891429551748646
0.28049998588565567,0.1847398621194374,0.09576012376621826
0.2893140028288543,0.19661342242598645,0.09270058040286783
0.2900813347357563,0.22051144974023304,0.06956988499552327
0.2693546520690899,0.1641984323033868,0.10515621976570308
0.2583036628786031,0.1792176754621275,0.07908598741647563
0.2587182363556553,0.16804044936513354,0.09067778699052173
0.25328000780373605,0.12984278723438847,0.12343722056934758
0.281682355427661,0.16301679429026647,0.11866556113739454
0.2730819880017558,0.203905119575997,0.06917686842575882
0.2483821911602925,0.1908367307318967,0.05754546042839581
0.24994716220390512,0.17264953096294852,0.0772976312409566
0.2550120683710162,0.1854095857346929,0.06960248263632329
0.2688190218616182,0.190122025821823,0.07869699603979521
0.2610959371799249,0.17180355720301096,0.08929237997691394
0.26648132793574925,0.1842657172121153,0.08221561072363395
0.27520493254773176,0.1913847837985769,0.08382014874915486
0.2833168316831683,0.18871287128712874,0.09460396039603955
0.26110825184422715,0.19007589311243453,0.07103235873179262
0.24224525974397307,0.16814123144540027,0.0741040282985728
0.25373522573932267,0.17134890828984375,0.08238631744947891
0.2943898780991209,0.2007658270033009,0.09362405109582003
0.24261894610900692,0.16992861700698414,0.07269032910202278
