model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss
decile,2025-10,responded_strict,0.05,2021,159,102,25,0.07867392380009897,0.24509803921568626,0.15723270440251572,3.1153656431125905,0.15495744055800614,0.725288625877362,,,
decile,2025-10,responded_strict,0.1,2021,159,203,42,0.07867392380009897,0.20689655172413793,0.2641509433962264,2.629798308392973,0.15495744055800614,0.725288625877362,,,
decile,2025-10,responded_strict,0.2,2021,159,405,63,0.07867392380009897,0.15555555555555556,0.39622641509433965,1.9772187281621243,0.15495744055800614,0.725288625877362,,,
decile,2025-11,responded_strict,0.05,2017,158,101,10,0.07833415964303421,0.09900990099009901,0.06329113924050633,1.2639428499812007,0.13249238724796852,0.6770194265325717,,,
decile,2025-11,responded_strict,0.1,2017,158,202,30,0.07833415964303421,0.1485148514851485,0.189873417721519,1.895914274971801,0.13249238724796852,0.6770194265325717,,,
decile,2025-11,responded_strict,0.2,2017,158,404,59,0.07833415964303421,0.14603960396039603,0.37341772151898733,1.8643157037222708,0.13249238724796852,0.6770194265325717,,,
decile,2025-12,responded_strict,0.05,2022,143,102,20,0.07072205736894165,0.19607843137254902,0.13986013986013987,2.7725215960510075,0.14200146880791312,0.7149037763726429,,,
decile,2025-12,responded_strict,0.1,2022,143,203,37,0.07072205736894165,0.18226600985221675,0.25874125874125875,2.577215887560715,0.14200146880791312,0.7149037763726429,,,
decile,2025-12,responded_strict,0.2,2022,143,405,66,0.07072205736894165,0.16296296296296298,0.46153846153846156,2.3042735042735045,0.14200146880791312,0.7149037763726429,,,
core_logistic,2025-10,responded_strict,0.05,2021,159,102,31,0.07867392380009897,0.30392156862745096,0.1949685534591195,3.863053397459612,0.2509801070406724,0.7881276641739119,0.08078695666552749,0.06573040501583002,0.2351415957104634
core_logistic,2025-10,responded_strict,0.1,2021,159,203,54,0.07867392380009897,0.2660098522167488,0.33962264150943394,3.3811692536481086,0.2509801070406724,0.7881276641739119,0.08078695666552749,0.06573040501583002,0.2351415957104634
core_logistic,2025-10,responded_strict,0.2,2021,159,405,84,0.07867392380009897,0.2074074074074074,0.5283018867924528,2.636291637549499,0.2509801070406724,0.7881276641739119,0.08078695666552749,0.06573040501583002,0.2351415957104634
core_logistic,2025-11,responded_strict,0.05,2017,158,101,34,0.07833415964303421,0.33663366336633666,0.21518987341772153,4.297405689936083,0.2470963169761665,0.7657700138225941,0.08176790518614403,0.06602955777632931,0.23947372979388287
core_logistic,2025-11,responded_strict,0.1,2017,158,202,57,0.07833415964303421,0.28217821782178215,0.36075949367088606,3.6022371224464216,0.2470963169761665,0.7657700138225941,0.08176790518614403,0.06602955777632931,0.23947372979388287
core_logistic,2025-11,responded_strict,0.2,2017,158,404,85,0.07833415964303421,0.2103960396039604,0.5379746835443038,2.685878556210051,0.2470963169761665,0.7657700138225941,0.08176790518614403,0.06602955777632931,0.23947372979388287
core_logistic,2025-12,responded_strict,0.05,2022,143,102,30,0.07072205736894165,0.29411764705882354,0.2097902097902098,4.158782394076511,0.22084635908368844,0.7780232008544942,0.07995293096053341,0.0603289677607151,0.22148468161502846
core_logistic,2025-12,responded_strict,0.1,2022,143,203,55,0.07072205736894165,0.270935960591133,0.38461538461538464,3.8309965896172793,0.22084635908368844,0.7780232008544942,0.07995293096053341,0.0603289677607151,0.22148468161502846
core_logistic,2025-12,responded_strict,0.2,2022,143,405,75,0.07072205736894165,0.18518518518518517,0.5244755244755245,2.6184926184926183,0.22084635908368844,0.7780232008544942,0.07995293096053341,0.0603289677607151,0.22148468161502846
extended_logistic,2025-10,responded_strict,0.05,2021,159,102,36,0.07867392380009897,0.35294117647058826,0.22641509433962265,4.486126526082131,0.2654790891335412,0.789960075390633,0.08008021424964142,0.06531320953958757,0.23372735498833974
extended_logistic,2025-10,responded_strict,0.1,2021,159,203,56,0.07867392380009897,0.27586206896551724,0.3522012578616352,3.506397744523964,0.2654790891335412,0.789960075390633,0.08008021424964142,0.06531320953958757,0.23372735498833974
extended_logistic,2025-10,responded_strict,0.2,2021,159,405,81,0.07867392380009897,0.2,0.5094339622641509,2.5421383647798743,0.2654790891335412,0.789960075390633,0.08008021424964142,0.06531320953958757,0.23372735498833974
extended_logistic,2025-11,responded_strict,0.05,2017,158,101,32,0.07833415964303421,0.31683168316831684,0.20253164556962025,4.044617119939842,0.22936943353721165,0.7635417163167892,0.08130718373572288,0.06623472097022723,0.2403077198738437
extended_logistic,2025-11,responded_strict,0.1,2017,158,202,57,0.07833415964303421,0.28217821782178215,0.36075949367088606,3.6022371224464216,0.22936943353721165,0.7635417163167892,0.08130718373572288,0.06623472097022723,0.2403077198738437
extended_logistic,2025-11,responded_strict,0.2,2017,158,404,84,0.07833415964303421,0.2079207920792079,0.5316455696202531,2.6542799849605214,0.22936943353721165,0.7635417163167892,0.08130718373572288,0.06623472097022723,0.2403077198738437
extended_logistic,2025-12,responded_strict,0.05,2022,143,102,35,0.07072205736894165,0.3431372549019608,0.24475524475524477,4.851912793089263,0.2349231695178194,0.7757771765222536,0.07997095720269316,0.06009760318401613,0.22125270530855864
extended_logistic,2025-12,responded_strict,0.1,2022,143,203,51,0.07072205736894165,0.2512315270935961,0.35664335664335667,3.552378655826932,0.2349231695178194,0.7757771765222536,0.07997095720269316,0.06009760318401613,0.22125270530855864
extended_logistic,2025-12,responded_strict,0.2,2022,143,405,76,0.07072205736894165,0.18765432098765433,0.5314685314685315,2.6534058534058533,0.2349231695178194,0.7757771765222536,0.07997095720269316,0.06009760318401613,0.22125270530855864
extended_boosting,2025-10,responded_strict,0.05,2021,159,102,32,0.07867392380009897,0.3137254901960784,0.20125786163522014,3.987668023184116,0.26714880518042505,0.7893807970059921,0.07851970938628983,0.06557615788059941,0.23504510978209675
extended_boosting,2025-10,responded_strict,0.1,2021,159,203,57,0.07867392380009897,0.28078817733990147,0.3584905660377358,3.569011989961892,0.26714880518042505,0.7893807970059921,0.07851970938628983,0.06557615788059941,0.23504510978209675
extended_boosting,2025-10,responded_strict,0.2,2021,159,405,84,0.07867392380009897,0.2074074074074074,0.5283018867924528,2.636291637549499,0.26714880518042505,0.7893807970059921,0.07851970938628983,0.06557615788059941,0.23504510978209675
extended_boosting,2025-11,responded_strict,0.05,2017,158,101,34,0.07833415964303421,0.33663366336633666,0.21518987341772153,4.297405689936083,0.2393166218035543,0.7581573732985613,0.07987200935921608,0.06629215451978215,0.24167889879610974
extended_boosting,2025-11,responded_strict,0.1,2017,158,202,56,0.07833415964303421,0.27722772277227725,0.35443037974683544,3.539039979947362,0.2393166218035543,0.7581573732985613,0.07987200935921608,0.06629215451978215,0.24167889879610974
extended_boosting,2025-11,responded_strict,0.2,2017,158,404,83,0.07833415964303421,0.20544554455445543,0.5253164556962026,2.6226814137109913,0.2393166218035543,0.7581573732985613,0.07987200935921608,0.06629215451978215,0.24167889879610974
extended_boosting,2025-12,responded_strict,0.05,2022,143,102,35,0.07072205736894165,0.3431372549019608,0.24475524475524477,4.851912793089263,0.24221782538524442,0.7773458579738516,0.07891285302699011,0.06001628464921443,0.22132907517512515
extended_boosting,2025-12,responded_strict,0.1,2022,143,203,46,0.07072205736894165,0.22660098522167488,0.32167832167832167,3.204106238588997,0.24221782538524442,0.7773458579738516,0.07891285302699011,0.06001628464921443,0.22132907517512515
extended_boosting,2025-12,responded_strict,0.2,2022,143,405,78,0.07072205736894165,0.1925925925925926,0.5454545454545454,2.723232323232323,0.24221782538524442,0.7773458579738516,0.07891285302699011,0.06001628464921443,0.22132907517512515
