model,target,capacity,months,rows,selected,true_positives_selected,precision,precision_min,precision_max,recall,prevalence,lift
core_logistic,responded_strict,0.01,3,6060,63,25,0.3968253968253968,0.3333333333333333,0.42857142857142855,0.05461487799677434,0.07591004693735827,5.254217891547722
core_logistic,responded_strict,0.02,3,6060,123,45,0.3658536585365854,0.36585365853658536,0.36585365853658536,0.09805714546579129,0.07591004693735827,4.8312652132402
core_logistic,responded_strict,0.03,3,6060,183,66,0.360655737704918,0.3442622950819672,0.3770491803278688,0.1435825804108584,0.07591004693735827,4.754814623784543
core_logistic,responded_strict,0.04,3,6060,243,79,0.3251028806584362,0.2962962962962963,0.35802469135802467,0.17159302232146753,0.07591004693735827,4.2793337393201165
core_logistic,responded_strict,0.05,3,6060,305,95,0.31155762635087036,0.29411764705882354,0.33663366336633666,0.2066495455556836,0.07591004693735827,4.106413827157403
core_logistic,responded_strict,0.06,3,6060,366,109,0.2978142076502732,0.27049180327868855,0.32786885245901637,0.23678296069029292,0.07591004693735827,3.9203092941753197
core_logistic,responded_strict,0.07,3,6060,426,120,0.28169014084507044,0.2535211267605634,0.30985915492957744,0.26060053048350157,0.07591004693735827,3.706945635029543
core_logistic,responded_strict,0.08,3,6060,486,137,0.28189300411522633,0.25925925925925924,0.3148148148148148,0.29774022119376786,0.07591004693735827,3.712348823355997
core_logistic,responded_strict,0.09,3,6060,546,153,0.28021978021978017,0.2692307692307692,0.3021978021978022,0.3329782363696861,0.07591004693735827,3.6955994494299866
core_logistic,responded_strict,0.1,3,6060,608,166,0.2730413435432213,0.2660098522167488,0.28217821782178215,0.36166583993190154,0.07591004693735827,3.6048009885706036
core_logistic,responded_strict,0.11,3,6060,668,177,0.2649847156573614,0.2556053811659193,0.2747747747747748,0.3857179759974123,0.07591004693735827,3.499228846289897
core_logistic,responded_strict,0.12,3,6060,729,188,0.25788751714677643,0.25102880658436216,0.26337448559670784,0.40927444235301885,0.07591004693735827,3.402280631967169
core_logistic,responded_strict,0.13,3,6060,789,197,0.24968314321926488,0.23574144486692014,0.2585551330798479,0.4284300074842229,0.07591004693735827,3.2906318115066724
core_logistic,responded_strict,0.14,3,6060,850,208,0.24472453093117005,0.22887323943661972,0.254416961130742,0.45224757727743164,0.07591004693735827,3.2242613693024644
core_logistic,responded_strict,0.15,3,6060,911,214,0.234916912743906,0.2138157894736842,0.24671052631578946,0.46486599937758283,0.07591004693735827,3.092304175061328
core_logistic,responded_strict,0.16,3,6060,971,219,0.2255475289531017,0.20679012345679013,0.23765432098765432,0.4758305807983381,0.07591004693735827,2.969644865235258
core_logistic,responded_strict,0.17,3,6060,1031,222,0.21533380794178136,0.19476744186046513,0.22674418604651161,0.4821464261397388,0.07591004693735827,2.8339522703651667
core_logistic,responded_strict,0.18,3,6060,1092,230,0.21062271062271062,0.18956043956043955,0.22252747252747251,0.4994401214845447,0.07591004693735827,2.771554341695897
core_logistic,responded_strict,0.19,3,6060,1153,237,0.2055690836940837,0.18441558441558442,0.21614583333333334,0.5146108436053504,0.07591004693735827,2.7047510172584297
core_logistic,responded_strict,0.2,3,6060,1214,244,0.20099621073218432,0.18518518518518517,0.2103960396039604,0.5302506982707603,0.07591004693735827,2.646887604084056
core_logistic,responded_strict,0.21,3,6060,1274,254,0.19937846836847947,0.18823529411764706,0.20754716981132076,0.5524276959672231,0.07591004693735827,2.6277256654876457
core_logistic,responded_strict,0.22,3,6060,1334,257,0.19266120052636906,0.1797752808988764,0.20270270270270271,0.5587435413086238,0.07591004693735827,2.5382252563907657
core_logistic,responded_strict,0.23,3,6060,1395,264,0.18926638802293438,0.17381974248927037,0.20043103448275862,0.5736929657397773,0.07591004693735827,2.4921959388425767
core_logistic,responded_strict,0.24,3,6060,1457,269,0.18463083167168695,0.17078189300411523,0.19175257731958764,0.5846442785778826,0.07591004693735827,2.4316681273243943
core_logistic,responded_strict,0.25,3,6060,1517,275,0.18128334572587693,0.16798418972332016,0.18811881188118812,0.5977185646399881,0.07591004693735827,2.3877196911267973
core_logistic,responded_strict,0.26,3,6060,1577,281,0.17818938982437083,0.16539923954372623,0.18631178707224336,0.6107795821194436,0.07591004693735827,2.3470652345579173
core_logistic,responded_strict,0.27,3,6060,1637,288,0.17593283373099888,0.16483516483516483,0.184981684981685,0.6261716019299014,0.07591004693735827,2.3180245293945343
core_logistic,responded_strict,0.28,3,6060,1698,297,0.17491929549078164,0.16225749559082892,0.1872791519434629,0.6455351961681076,0.07591004693735827,2.3038630547036445
core_logistic,responded_strict,0.29,3,6060,1759,308,0.17509864733033387,0.16524701873935263,0.18568994889267462,0.6698086299232705,0.07591004693735827,2.3075510720938746
