model,target,capacity,months,rows,selected,true_positives_selected,precision,precision_min,precision_max,recall,prevalence,lift
core_logistic,responded_strict,0.01,3,6075,63,23,0.36507936507936506,0.23809523809523808,0.42857142857142855,0.050770363823832675,0.07423121407972523,4.900628467619188
core_logistic,responded_strict,0.02,3,6075,123,42,0.34146341463414637,0.1951219512195122,0.4634146341463415,0.09245838856974518,0.07423121407972523,4.5737067494404515
core_logistic,responded_strict,0.03,3,6075,184,62,0.33677066807685524,0.29508196721311475,0.3709677419354839,0.13722492266902342,0.07423121407972523,4.5305468321036635
core_logistic,responded_strict,0.04,3,6075,244,76,0.311352002408913,0.2716049382716049,0.34146341463414637,0.16822114204350172,0.07423121407972523,4.188655258215894
core_logistic,responded_strict,0.05,3,6075,305,87,0.285154986086844,0.25742574257425743,0.3137254901960784,0.192622379339127,0.07423121407972523,3.836919265605436
core_logistic,responded_strict,0.06,3,6075,366,104,0.28394151981080845,0.2396694214876033,0.3170731707317073,0.23008101340403594,0.07423121407972523,3.8184829869412966
core_logistic,responded_strict,0.07,3,6075,426,116,0.2721275827359136,0.23404255319148937,0.3076923076923077,0.25663278833406983,0.07423121407972523,3.659567597944175
core_logistic,responded_strict,0.08,3,6075,487,133,0.27301948887903876,0.2484472049689441,0.29012345679012347,0.29469337654048217,0.07423121407972523,3.6761451962606464
core_logistic,responded_strict,0.09,3,6075,549,143,0.26039896193139245,0.23076923076923078,0.2786885245901639,0.31675062601266757,0.07423121407972523,3.5051386772016357
core_logistic,responded_strict,0.1,3,6075,609,153,0.2511869775792416,0.23267326732673269,0.26108374384236455,0.33906220847449303,0.07423121407972523,3.3823539779934957
core_logistic,responded_strict,0.11,3,6075,670,163,0.24321325810115046,0.22522522522522523,0.2577777777777778,0.36110865615947363,0.07423121407972523,3.27424904665053
core_logistic,responded_strict,0.12,3,6075,730,174,0.23831181556049277,0.22727272727272727,0.24897959183673468,0.3856424608435214,0.07423121407972523,3.2093024187361667
