model,average_precision,precision_05,precision_10,precision_20
core_logistic,0.2313108406798913,0.2967223192907526,0.2596551708198928,0.19752552108684543
decile,0.1392922606475899,0.17362324467740894,0.1692043552370305,0.15469713155489798
extended_boosting,0.25031071012731426,0.3195981362842167,0.26866624651453846,0.20285818864597283
extended_logistic,0.24312007370536984,0.3228337539636317,0.26454087382079267,0.20327583311237699
