model,target,capacity,months,rows,selected,true_positives_selected,precision,precision_min,precision_max,recall,prevalence,lift
core_logistic,responded_strict,0.01,6,12135,126,48,0.38095238095238093,0.23809523809523808,0.47619047619047616,0.05257533777415244,0.07507063050854175,5.0660805739012265
core_logistic,responded_strict,0.02,6,12135,246,90,0.3658536585365854,0.1951219512195122,0.4634146341463415,0.09875427051427173,0.07507063050854175,4.874923300119107
core_logistic,responded_strict,0.03,6,12135,367,128,0.34871320289088664,0.29508196721311475,0.3709677419354839,0.14052103467609198,0.07507063050854175,4.646585559408477
core_logistic,responded_strict,0.04,6,12135,487,155,0.3182274415336746,0.2716049382716049,0.35802469135802467,0.16990708218248463,0.07507063050854175,4.233994498768005
core_logistic,responded_strict,0.05,6,12135,610,181,0.2967223192907526,0.25742574257425743,0.33663366336633666,0.19847046128190415,0.07507063050854175,3.9485621997476605
core_logistic,responded_strict,0.06,6,12135,732,215,0.29361010416769934,0.2396694214876033,0.3360655737704918,0.2356523405333407,0.07507063050854175,3.906152537996382
core_logistic,responded_strict,0.07,6,12135,852,237,0.2780825707106798,0.23404255319148937,0.31690140845070425,0.25978879486561185,0.07507063050854175,3.6999174041638203
core_logistic,responded_strict,0.08,6,12135,973,268,0.27539863332840825,0.2484472049689441,0.30246913580246915,0.29422437736192586,0.07507063050854175,3.6694502225103185
core_logistic,responded_strict,0.09,6,12135,1095,297,0.27122512199133725,0.23076923076923078,0.3021978021978022,0.32591264922052693,0.07507063050854175,3.612008890993375
core_logistic,responded_strict,0.1,6,12135,1217,316,0.2596551708198928,0.23267326732673269,0.2871287128712871,0.3469914381341699,0.07507063050854175,3.460020764070054
core_logistic,responded_strict,0.11,6,12135,1338,339,0.25334823612850516,0.22522522522522523,0.2702702702702703,0.37235846375776793,0.07507063050854175,3.377154995430566
core_logistic,responded_strict,0.12,6,12135,1459,361,0.24741379529739316,0.22727272727272727,0.26337448559670784,0.39629295043276896,0.07507063050854175,3.296093404542436
core_logistic,responded_strict,0.13,6,12135,1580,381,0.24113023237834508,0.22137404580152673,0.2585551330798479,0.4181377768855011,0.07507063050854175,3.211455905179052
core_logistic,responded_strict,0.14,6,12135,1702,401,0.23561035435830935,0.22340425531914893,0.254416961130742,0.44008647634662795,0.07507063050854175,3.137764416968063
core_logistic,responded_strict,0.15,6,12135,1823,413,0.22653543108310656,0.20860927152317882,0.24342105263157895,0.453072110317801,0.07507063050854175,3.015885773968108
core_logistic,responded_strict,0.16,6,12135,1944,423,0.21758144934340337,0.19875776397515527,0.2345679012345679,0.46393951679091555,0.07507063050854175,2.896052483792389
core_logistic,responded_strict,0.17,6,12135,2066,436,0.21103400750910095,0.1924198250728863,0.22965116279069767,0.4782351327851704,0.07507063050854175,2.809037170361931
core_logistic,responded_strict,0.18,6,12135,2187,453,0.20711859711888556,0.18956043956043955,0.21978021978021978,0.4968892964070639,0.07507063050854175,2.7570816418204003
core_logistic,responded_strict,0.19,6,12135,2309,468,0.20268174972727424,0.18798955613577023,0.21614583333333334,0.5135040012631628,0.07507063050854175,2.6987511049299155
core_logistic,responded_strict,0.2,6,12135,2430,480,0.19752552108684543,0.18271604938271604,0.2103960396039604,0.5266730605195918,0.07507063050854175,2.6301267041199465
core_logistic,responded_strict,0.21,6,12135,2551,497,0.19481788283838897,0.18203309692671396,0.20518867924528303,0.5455304040944421,0.07507063050854175,2.5950417083195414
core_logistic,responded_strict,0.22,6,12135,2672,516,0.1930971085273729,0.1797752808988764,0.20495495495495494,0.5662399021326329,0.07507063050854175,2.571594870105929
core_logistic,responded_strict,0.23,6,12135,2793,527,0.18867109597245693,0.17381974248927037,0.19829424307036247,0.5783507184559366,0.07507063050854175,2.51282499592568
core_logistic,responded_strict,0.24,6,12135,2916,541,0.18550685236751466,0.17078189300411523,0.19387755102040816,0.5936964212155873,0.07507063050854175,2.470696581142564
core_logistic,responded_strict,0.25,6,12135,3037,555,0.18273143998820965,0.16600790513833993,0.191699604743083,0.6090282002249278,0.07507063050854175,2.4334982982740576
core_logistic,responded_strict,0.26,6,12135,3158,568,0.1798439517432722,0.16730038022813687,0.18679245283018867,0.623407267342579,0.07507063050854175,2.3955309724110934
core_logistic,responded_strict,0.27,6,12135,3279,580,0.17685662082642908,0.1636029411764706,0.18874773139745918,0.6364490383884188,0.07507063050854175,2.355385273922509
core_logistic,responded_strict,0.28,6,12135,3400,588,0.17292048973645444,0.15780141843971632,0.18374558303886926,0.6453190524865198,0.07507063050854175,2.303234481238262
core_logistic,responded_strict,0.29,6,12135,3523,603,0.17113783194317236,0.15753424657534246,0.18568994889267462,0.6616871558853892,0.07507063050854175,2.279155607524275
core_logistic,responded_strict,0.3,6,12135,3644,614,0.16847473813706623,0.15397350993377484,0.1828665568369028,0.6739394924776111,0.07507063050854175,2.244312763268995
core_logistic,responded_strict,0.31,6,12135,3764,628,0.16682310556226662,0.15064102564102563,0.18181818181818182,0.6890944804930205,0.07507063050854175,2.221621415732981
core_logistic,responded_strict,0.32,6,12135,3886,639,0.16442546165479224,0.15217391304347827,0.1777434312210201,0.7013155789721716,0.07507063050854175,2.190031158540413
