model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss
decile,2025-07,responded_strict,0.05,2025,150,102,18,0.07407407407407407,0.17647058823529413,0.12,2.382352941176471,0.1443188343830283,0.7291804444444444,,,
decile,2025-07,responded_strict,0.1,2025,150,203,35,0.07407407407407407,0.1724137931034483,0.23333333333333334,2.327586206896552,0.1443188343830283,0.7291804444444444,,,
decile,2025-07,responded_strict,0.2,2025,150,405,66,0.07407407407407407,0.16296296296296298,0.44,2.2,0.1443188343830283,0.7291804444444444,,,
decile,2025-08,responded_strict,0.05,2012,146,101,16,0.07256461232604373,0.15841584158415842,0.1095890410958904,2.1831005018310052,0.1145841481751694,0.672613017369217,,,
decile,2025-08,responded_strict,0.1,2012,146,202,25,0.07256461232604373,0.12376237623762376,0.17123287671232876,1.7055472670554728,0.1145841481751694,0.672613017369217,,,
decile,2025-08,responded_strict,0.2,2012,146,403,54,0.07256461232604373,0.13399503722084366,0.3698630136986301,1.8465617458105306,0.1145841481751694,0.672613017369217,,,
decile,2025-09,responded_strict,0.05,2038,155,102,17,0.0760549558390579,0.16666666666666666,0.10967741935483871,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,
decile,2025-09,responded_strict,0.1,2038,155,204,37,0.0760549558390579,0.18137254901960784,0.23870967741935484,2.3847564832384567,0.1473992847134539,0.7167902968838333,,,
decile,2025-09,responded_strict,0.2,2038,155,408,68,0.0760549558390579,0.16666666666666666,0.43870967741935485,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,
core_logistic,2025-07,responded_strict,0.05,2025,150,102,29,0.07407407407407407,0.28431372549019607,0.19333333333333333,3.838235294117647,0.2352577045435819,0.7949226666666668,0.08149934443484617,0.06238856080574045,0.2246826001010723
core_logistic,2025-07,responded_strict,0.1,2025,150,203,53,0.07407407407407407,0.26108374384236455,0.35333333333333333,3.5246305418719217,0.2352577045435819,0.7949226666666668,0.08149934443484617,0.06238856080574045,0.2246826001010723
core_logistic,2025-07,responded_strict,0.2,2025,150,405,81,0.07407407407407407,0.2,0.54,2.7,0.2352577045435819,0.7949226666666668,0.08149934443484617,0.06238856080574045,0.2246826001010723
core_logistic,2025-08,responded_strict,0.05,2012,146,101,26,0.07256461232604373,0.25742574257425743,0.1780821917808219,3.5475383154753835,0.18764069708331044,0.7522555756214302,0.08020803923255009,0.06314069916022683,0.2327403240499011
core_logistic,2025-08,responded_strict,0.1,2012,146,202,47,0.07256461232604373,0.23267326732673269,0.3219178082191781,3.206428862064289,0.18764069708331044,0.7522555756214302,0.08020803923255009,0.06314069916022683,0.2327403240499011
core_logistic,2025-08,responded_strict,0.2,2012,146,403,75,0.07256461232604373,0.18610421836228289,0.5136986301369864,2.564669091403515,0.18764069708331044,0.7522555756214302,0.08020803923255009,0.06314069916022683,0.2327403240499011
