model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss,stage
core_comparable_fit,2025-07,responded_strict,0.05,2025,150,102,29,0.07407407407407407,0.28431372549019607,0.19333333333333333,3.838235294117647,0.23828454748720707,0.7950613333333333,0.0804994790903361,0.06239522181601734,0.22449183137621492,development
core_comparable_fit,2025-07,responded_strict,0.1,2025,150,203,52,0.07407407407407407,0.2561576354679803,0.3466666666666667,3.4581280788177344,0.23828454748720707,0.7950613333333333,0.0804994790903361,0.06239522181601734,0.22449183137621492,development
core_comparable_fit,2025-07,responded_strict,0.2,2025,150,405,82,0.07407407407407407,0.20246913580246914,0.5466666666666666,2.7333333333333334,0.23828454748720707,0.7950613333333333,0.0804994790903361,0.06239522181601734,0.22449183137621492,development
core_comparable_fit,2025-08,responded_strict,0.05,2012,146,101,26,0.07256461232604373,0.25742574257425743,0.1780821917808219,3.5475383154753835,0.18664278894950234,0.751286540692126,0.0791784887001676,0.06317011398094868,0.23288809123519366,development
core_comparable_fit,2025-08,responded_strict,0.1,2012,146,202,44,0.07256461232604373,0.21782178217821782,0.3013698630136986,3.001763190017632,0.18664278894950234,0.751286540692126,0.0791784887001676,0.06317011398094868,0.23288809123519366,development
core_comparable_fit,2025-08,responded_strict,0.2,2012,146,403,75,0.07256461232604373,0.18610421836228289,0.5136986301369864,2.564669091403515,0.18664278894950234,0.751286540692126,0.0791784887001676,0.06317011398094868,0.23288809123519366,development
core_comparable_fit,2025-09,responded_strict,0.05,2038,155,102,33,0.0760549558390579,0.3235294117647059,0.2129032258064516,4.253889943074004,0.2464239012131555,0.7805183903517037,0.08099016018838864,0.06397642310526729,0.231773849266931,development
core_comparable_fit,2025-09,responded_strict,0.1,2038,155,204,53,0.0760549558390579,0.25980392156862747,0.3419354838709677,3.4160025300442762,0.2464239012131555,0.7805183903517037,0.08099016018838864,0.06397642310526729,0.231773849266931,development
core_comparable_fit,2025-09,responded_strict,0.2,2038,155,408,81,0.0760549558390579,0.19852941176470587,0.5225806451612903,2.6103415559772296,0.2464239012131555,0.7805183903517037,0.08099016018838864,0.06397642310526729,0.231773849266931,development
core_plus_history,2025-07,responded_strict,0.05,2025,150,102,34,0.07407407407407407,0.3333333333333333,0.22666666666666666,4.5,0.2632186144464132,0.8016355555555557,0.0795021828734642,0.06166045235720236,0.22204890720339368,development
core_plus_history,2025-07,responded_strict,0.1,2025,150,203,54,0.07407407407407407,0.2660098522167488,0.36,3.5911330049261085,0.2632186144464132,0.8016355555555557,0.0795021828734642,0.06166045235720236,0.22204890720339368,development
core_plus_history,2025-07,responded_strict,0.2,2025,150,405,86,0.07407407407407407,0.2123456790123457,0.5733333333333334,2.866666666666667,0.2632186144464132,0.8016355555555557,0.0795021828734642,0.06166045235720236,0.22204890720339368,development
core_plus_history,2025-08,responded_strict,0.05,2012,146,101,26,0.07256461232604373,0.25742574257425743,0.1780821917808219,3.5475383154753835,0.1995784476413143,0.7572145384604091,0.07856984875525891,0.06278729970200986,0.2311727942537959,development
core_plus_history,2025-08,responded_strict,0.1,2012,146,202,46,0.07256461232604373,0.22772277227722773,0.3150684931506849,3.13820697138207,0.1995784476413143,0.7572145384604091,0.07856984875525891,0.06278729970200986,0.2311727942537959,development
core_plus_history,2025-08,responded_strict,0.2,2012,146,403,78,0.07256461232604373,0.1935483870967742,0.5342465753424658,2.6672558550596555,0.1995784476413143,0.7572145384604091,0.07856984875525891,0.06278729970200986,0.2311727942537959,development
core_plus_history,2025-09,responded_strict,0.05,2038,155,102,32,0.0760549558390579,0.3137254901960784,0.2064516129032258,4.124984187223276,0.26128466284962115,0.7861237215836089,0.0801474065555033,0.06364954926054664,0.2302573854570172,development
core_plus_history,2025-09,responded_strict,0.1,2038,155,204,51,0.0760549558390579,0.25,0.32903225806451614,3.2870967741935484,0.26128466284962115,0.7861237215836089,0.0801474065555033,0.06364954926054664,0.2302573854570172,development
core_plus_history,2025-09,responded_strict,0.2,2038,155,408,88,0.0760549558390579,0.21568627450980393,0.567741935483871,2.8359266287160025,0.26128466284962115,0.7861237215836089,0.0801474065555033,0.06364954926054664,0.2302573854570172,development
core_comparable_fit,2025-10,responded_strict,0.05,2021,159,102,31,0.07867392380009897,0.30392156862745096,0.1949685534591195,3.863053397459612,0.25304247863957186,0.7887288977159881,0.07989055820207072,0.06571982437909629,0.2349222327645788,later
core_comparable_fit,2025-10,responded_strict,0.1,2021,159,203,53,0.07867392380009897,0.26108374384236455,0.3333333333333333,3.3185550082101805,0.25304247863957186,0.7887288977159881,0.07989055820207072,0.06571982437909629,0.2349222327645788,later
core_comparable_fit,2025-10,responded_strict,0.2,2021,159,405,85,0.07867392380009897,0.20987654320987653,0.5345911949685535,2.6676760618060404,0.25304247863957186,0.7887288977159881,0.07989055820207072,0.06571982437909629,0.2349222327645788,later
core_comparable_fit,2025-11,responded_strict,0.05,2017,158,101,34,0.07833415964303421,0.33663366336633666,0.21518987341772153,4.297405689936083,0.24613654001262317,0.7657904413016389,0.08086848244336294,0.06606047193503162,0.239505336327366,later
core_comparable_fit,2025-11,responded_strict,0.1,2017,158,202,56,0.07833415964303421,0.27722772277227725,0.35443037974683544,3.539039979947362,0.24613654001262317,0.7657904413016389,0.08086848244336294,0.06606047193503162,0.239505336327366,later
core_comparable_fit,2025-11,responded_strict,0.2,2017,158,404,85,0.07833415964303421,0.2103960396039604,0.5379746835443038,2.685878556210051,0.24613654001262317,0.7657904413016389,0.08086848244336294,0.06606047193503162,0.239505336327366,later
core_comparable_fit,2025-12,responded_strict,0.05,2022,143,102,29,0.07072205736894165,0.28431372549019607,0.20279720279720279,4.020156314273961,0.22374158099475275,0.7788047503321585,0.07903524929635294,0.06028286477898001,0.2211788995879212,later
core_comparable_fit,2025-12,responded_strict,0.1,2022,143,203,58,0.07072205736894165,0.2857142857142857,0.40559440559440557,4.0399600399600395,0.22374158099475275,0.7788047503321585,0.07903524929635294,0.06028286477898001,0.2211788995879212,later
core_comparable_fit,2025-12,responded_strict,0.2,2022,143,405,76,0.07072205736894165,0.18765432098765433,0.5314685314685315,2.6534058534058533,0.22374158099475275,0.7788047503321585,0.07903524929635294,0.06028286477898001,0.2211788995879212,later
core_plus_history,2025-10,responded_strict,0.05,2021,159,102,37,0.07867392380009897,0.3627450980392157,0.23270440251572327,4.610741151806634,0.2867787494811453,0.7940572455397252,0.07910955681883633,0.06480552563098227,0.23228830195426764,later
core_plus_history,2025-10,responded_strict,0.1,2021,159,203,57,0.07867392380009897,0.28078817733990147,0.3584905660377358,3.569011989961892,0.2867787494811453,0.7940572455397252,0.07910955681883633,0.06480552563098227,0.23228830195426764,later
core_plus_history,2025-10,responded_strict,0.2,2021,159,405,88,0.07867392380009897,0.21728395061728395,0.5534591194968553,2.7618293345756655,0.2867787494811453,0.7940572455397252,0.07910955681883633,0.06480552563098227,0.23228830195426764,later
