model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss,stage
decile,2025-07,responded_strict,0.05,2025,150,102,18,0.07407407407407407,0.17647058823529413,0.12,2.382352941176471,0.1443188343830283,0.7291804444444444,,,,development
decile,2025-07,responded_strict,0.1,2025,150,203,35,0.07407407407407407,0.1724137931034483,0.23333333333333334,2.327586206896552,0.1443188343830283,0.7291804444444444,,,,development
decile,2025-07,responded_strict,0.2,2025,150,405,66,0.07407407407407407,0.16296296296296298,0.44,2.2,0.1443188343830283,0.7291804444444444,,,,development
decile,2025-08,responded_strict,0.05,2012,146,101,16,0.07256461232604373,0.15841584158415842,0.1095890410958904,2.1831005018310052,0.1145841481751694,0.672613017369217,,,,development
decile,2025-08,responded_strict,0.1,2012,146,202,25,0.07256461232604373,0.12376237623762376,0.17123287671232876,1.7055472670554728,0.1145841481751694,0.672613017369217,,,,development
decile,2025-08,responded_strict,0.2,2012,146,403,54,0.07256461232604373,0.13399503722084366,0.3698630136986301,1.8465617458105306,0.1145841481751694,0.672613017369217,,,,development
decile,2025-09,responded_strict,0.05,2038,155,102,17,0.0760549558390579,0.16666666666666666,0.10967741935483871,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,,development
decile,2025-09,responded_strict,0.1,2038,155,204,37,0.0760549558390579,0.18137254901960784,0.23870967741935484,2.3847564832384567,0.1473992847134539,0.7167902968838333,,,,development
decile,2025-09,responded_strict,0.2,2038,155,408,68,0.0760549558390579,0.16666666666666666,0.43870967741935485,2.1913978494623656,0.1473992847134539,0.7167902968838333,,,,development
three_field_rate,2025-07,responded_strict,0.05,2025,150,102,30,0.07407407407407407,0.29411764705882354,0.2,3.970588235294118,0.21175105127558055,0.7834808888888889,0.0831384429845358,0.06308571588197599,0.22755274963390262,development
three_field_rate,2025-07,responded_strict,0.1,2025,150,203,51,0.07407407407407407,0.2512315270935961,0.34,3.391625615763547,0.21175105127558055,0.7834808888888889,0.0831384429845358,0.06308571588197599,0.22755274963390262,development
three_field_rate,2025-07,responded_strict,0.2,2025,150,405,82,0.07407407407407407,0.20246913580246914,0.5466666666666666,2.7333333333333334,0.21175105127558055,0.7834808888888889,0.0831384429845358,0.06308571588197599,0.22755274963390262,development
three_field_rate,2025-08,responded_strict,0.05,2012,146,101,24,0.07256461232604373,0.2376237623762376,0.1643835616438356,3.2746507527465076,0.17111223518134414,0.7307716307683272,0.08054549759858462,0.06419668184290829,0.23879256125928103,development
three_field_rate,2025-08,responded_strict,0.1,2012,146,202,42,0.07256461232604373,0.2079207920792079,0.2876712328767123,2.865319408653194,0.17111223518134414,0.7307716307683272,0.08054549759858462,0.06419668184290829,0.23879256125928103,development
three_field_rate,2025-08,responded_strict,0.2,2012,146,403,70,0.07256461232604373,0.17369727047146402,0.4794520547945205,2.393691151976614,0.17111223518134414,0.7307716307683272,0.08054549759858462,0.06419668184290829,0.23879256125928103,development
