period,model,capacity,selected,precision
2025-10,three_field_rate,0.17,344,0.2180232558139535
2025-10,three_field_rate,0.18,364,0.21978021978021978
2025-10,three_field_rate,0.19,384,0.2109375
2025-10,three_field_rate,0.2,405,0.20493827160493827
2025-10,three_field_rate,0.21,425,0.2
2025-10,three_field_rate,0.22,445,0.19550561797752808
2025-10,three_field_rate,0.23,465,0.1935483870967742
2025-10,three_field_rate,0.24,486,0.18930041152263374
2025-10,three_field_rate,0.25,506,0.1857707509881423
2025-10,three_field_rate,0.26,526,0.1844106463878327
2025-10,three_field_rate,0.27,546,0.18315018315018314
2025-10,three_field_rate,0.28,566,0.1784452296819788
2025-10,three_field_rate,0.29,587,0.1737649063032368
2025-10,three_field_rate,0.3,607,0.171334431630972
2025-10,three_field_rate,0.31,627,0.1722488038277512
2025-10,three_field_rate,0.32,647,0.17001545595054096
2025-10,three_field_rate,0.33,667,0.16941529235382308
2025-10,three_field_rate,0.34,688,0.16715116279069767
2025-10,three_field_rate,0.35,708,0.16666666666666666
2025-10,three_field_rate,0.36,728,0.1620879120879121
2025-10,three_field_rate,0.37,748,0.16042780748663102
2025-10,three_field_rate,0.38,768,0.16015625
2025-10,three_field_rate,0.39,789,0.15716096324461343
2025-10,three_field_rate,0.4,809,0.15822002472187885
2025-10,three_field_rate,0.41,829,0.15560916767189384
2025-10,three_field_rate,0.42,849,0.15312131919905772
2025-10,three_field_rate,0.43,870,0.15057471264367817
2025-10,three_field_rate,0.44,890,0.14831460674157304
2025-10,three_field_rate,0.45,910,0.14835164835164835
2025-10,three_field_rate,0.46,930,0.14731182795698924
2025-10,three_field_rate,0.47,950,0.1463157894736842
2025-10,three_field_rate,0.48,971,0.14521112255406798
2025-10,three_field_rate,0.49,991,0.14228052472250252
2025-10,three_field_rate,0.5,1011,0.1404549950544016
2025-10,three_field_rate,0.51,1031,0.1396702230843841
2025-10,three_field_rate,0.52,1051,0.1379638439581351
2025-10,three_field_rate,0.53,1072,0.13526119402985073
2025-10,three_field_rate,0.54,1092,0.13278388278388278
2025-10,three_field_rate,0.55,1112,0.1303956834532374
2025-10,three_field_rate,0.56,1132,0.12809187279151943
2025-10,three_field_rate,0.57,1152,0.12586805555555555
2025-10,three_field_rate,0.58,1173,0.12361466325660699
2025-10,three_field_rate,0.59,1193,0.12238055322715842
2025-10,three_field_rate,0.6,1213,0.12118713932399011
2025-10,three_field_rate,0.61,1233,0.12003244120032441
2025-10,three_field_rate,0.62,1254,0.11802232854864433
2025-10,three_field_rate,0.63,1274,0.11616954474097331
2025-10,three_field_rate,0.64,1294,0.1151468315301391
2025-10,three_field_rate,0.65,1314,0.1141552511415525
2025-10,three_field_rate,0.66,1334,0.11244377811094453
2025-10,three_field_rate,0.67,1355,0.11070110701107011
2025-10,three_field_rate,0.68,1375,0.10909090909090909
2025-10,three_field_rate,0.69,1395,0.10752688172043011
2025-10,three_field_rate,0.7,1415,0.10600706713780919
2025-10,three_field_rate,0.71,1435,0.10522648083623694
2025-10,three_field_rate,0.72,1456,0.10370879120879122
2025-10,three_field_rate,0.73,1476,0.10230352303523035
2025-10,three_field_rate,0.74,1496,0.10227272727272728
2025-10,three_field_rate,0.75,1516,0.10092348284960422
2025-10,three_field_rate,0.76,1536,0.099609375
2025-10,three_field_rate,0.77,1557,0.09826589595375723
2025-10,three_field_rate,0.78,1577,0.09765377298668358
2025-10,three_field_rate,0.79,1597,0.09643080776455855
2025-10,three_field_rate,0.8,1617,0.09647495361781076
2025-10,three_field_rate,0.81,1638,0.09523809523809523
2025-10,three_field_rate,0.82,1658,0.09408926417370325
2025-10,three_field_rate,0.83,1678,0.09296781883194279
2025-10,three_field_rate,0.84,1698,0.09187279151943463
2025-10,three_field_rate,0.85,1718,0.09138533178114086
2025-10,three_field_rate,0.86,1739,0.09028177113283496
2025-10,three_field_rate,0.87,1759,0.08925525866969869
2025-10,three_field_rate,0.88,1779,0.08825182686902755
2025-10,three_field_rate,0.89,1799,0.08782657031684268
2025-10,three_field_rate,0.9,1819,0.0868609125893348
2025-10,three_field_rate,0.91,1840,0.08586956521739131
2025-10,three_field_rate,0.92,1860,0.08494623655913978
2025-10,three_field_rate,0.93,1880,0.08457446808510638
2025-10,three_field_rate,0.94,1900,0.08368421052631579
2025-10,three_field_rate,0.95,1920,0.0828125
2025-10,three_field_rate,0.96,1941,0.08191653786707882
2025-10,three_field_rate,0.97,1961,0.08108108108108109
2025-10,three_field_rate,0.98,1981,0.08026249369005553
2025-10,three_field_rate,0.99,2001,0.07946026986506746
2025-10,three_field_rate,1.0,2021,0.07867392380009897
2025-10,core_logistic,0.01,21,0.42857142857142855
2025-10,core_logistic,0.02,41,0.36585365853658536
2025-10,core_logistic,0.03,61,0.3770491803278688
2025-10,core_logistic,0.04,81,0.35802469135802467
2025-10,core_logistic,0.05,102,0.30392156862745096
2025-10,core_logistic,0.06,122,0.29508196721311475
2025-10,core_logistic,0.07,142,0.28169014084507044
2025-10,core_logistic,0.08,162,0.2716049382716049
2025-10,core_logistic,0.09,182,0.2692307692307692
2025-10,core_logistic,0.1,203,0.2660098522167488
2025-10,core_logistic,0.11,223,0.2556053811659193
2025-10,core_logistic,0.12,243,0.26337448559670784
2025-10,core_logistic,0.13,263,0.2585551330798479
2025-10,core_logistic,0.14,283,0.254416961130742
2025-10,core_logistic,0.15,304,0.24671052631578946
2025-10,core_logistic,0.16,324,0.23765432098765432
2025-10,core_logistic,0.17,344,0.22674418604651161
2025-10,core_logistic,0.18,364,0.21978021978021978
2025-10,core_logistic,0.19,384,0.21614583333333334
2025-10,core_logistic,0.2,405,0.2074074074074074
2025-10,core_logistic,0.21,425,0.2023529411764706
2025-10,core_logistic,0.22,445,0.19550561797752808
2025-10,core_logistic,0.23,465,0.1935483870967742
2025-10,core_logistic,0.24,486,0.19135802469135801
2025-10,core_logistic,0.25,506,0.18774703557312253
2025-10,core_logistic,0.26,526,0.18631178707224336
2025-10,core_logistic,0.27,546,0.184981684981685
2025-10,core_logistic,0.28,566,0.1872791519434629
2025-10,core_logistic,0.29,587,0.18568994889267462
2025-10,core_logistic,0.3,607,0.18451400329489293
2025-10,core_logistic,0.31,627,0.18181818181818182
