model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss,stage
core_comparable_fit,responded_strict,0.05,3,6075,451,305,88,0.28842295994305317,0.25742574257425743,0.3235294117647059,0.1947729169735356,3.8798878508890113,0.2237837458832883,0.7756220881257209,0.07423121407972523,0.08022270932629745,0.06318058630074443,0.22971792395944654,development
core_comparable_fit,responded_strict,0.1,3,6075,451,609,149,0.24459444640494188,0.21782178217821782,0.25980392156862747,0.3299906711837777,3.2919645996265476,0.2237837458832883,0.7756220881257209,0.07423121407972523,0.08022270932629745,0.06318058630074443,0.22971792395944654,development
core_comparable_fit,responded_strict,0.2,3,6075,451,1216,238,0.19570092197648595,0.18610421836228289,0.20246913580246914,0.5276486473216478,2.6361146602380257,0.2237837458832883,0.7756220881257209,0.07423121407972523,0.08022270932629745,0.06318058630074443,0.22971792395944654,development
core_plus_history,responded_strict,0.05,3,6075,451,305,92,0.3014948553678897,0.25742574257425743,0.3333333333333333,0.20373349045023814,4.057507500899553,0.24136057497911623,0.7816579385331912,0.07423121407972523,0.07940647939474214,0.06269910043991962,0.2278263623047356,development
core_plus_history,responded_strict,0.1,3,6075,451,609,151,0.24791087483132548,0.22772277227722773,0.2660098522167488,0.33470025040506696,3.3388122501672424,0.24136057497911623,0.7816579385331912,0.07423121407972523,0.07940647939474214,0.06269910043991962,0.2278263623047356,development
core_plus_history,responded_strict,0.2,3,6075,451,1216,252,0.20719344687297458,0.1935483870967742,0.21568627450980393,0.55844061471989,2.7899497168141085,0.24136057497911623,0.7816579385331912,0.07423121407972523,0.07940647939474214,0.06269910043991962,0.2278263623047356,development
core_comparable_fit,responded_strict,0.05,3,6060,460,305,94,0.3082896524946612,0.28431372549019607,0.33663366336633666,0.20431854322468126,4.060205133889885,0.24097353321564927,0.7777746964499285,0.07591004693735827,0.07993142998059553,0.06402105369770264,0.23186882289328867,later
core_comparable_fit,responded_strict,0.1,3,6060,460,608,167,0.27467525077630917,0.26108374384236455,0.2857142857142857,0.36445270622485815,3.6325183427058607,0.24097353321564927,0.7777746964499285,0.07591004693735827,0.07993142998059553,0.06402105369770264,0.23186882289328867,later
core_comparable_fit,responded_strict,0.2,3,6060,460,1214,246,0.20264230126716376,0.18765432098765433,0.2103960396039604,0.5346781366604629,2.6689868238073147,0.24097353321564927,0.7777746964499285,0.07591004693735827,0.07993142998059553,0.06402105369770264,0.23186882289328867,later
core_plus_history,responded_strict,0.05,3,6060,460,305,103,0.33770141720054364,0.3137254901960784,0.3627450980392157,0.2238901665698895,4.448060465141443,0.2649157338197791,0.7848909870709674,0.07591004693735827,0.07910721289606641,0.0632544650225011,0.22918261192891096,later
core_plus_history,responded_strict,0.1,3,6060,460,608,173,0.2845599830919052,0.27586206896551724,0.297029702970297,0.37661526436305515,3.753830537656787,0.2649157338197791,0.7848909870709674,0.07591004693735827,0.07910721289606641,0.0632544650225011,0.22918261192891096,later
core_plus_history,responded_strict,0.2,3,6060,460,1214,251,0.20676567656765676,0.18271604938271604,0.2202970297029703,0.5447442587399597,2.719227186454407,0.2649157338197791,0.7848909870709674,0.07591004693735827,0.07910721289606641,0.0632544650225011,0.22918261192891096,later
core_comparable_fit,responded_strict,0.05,6,12135,911,610,181,0.29668996311395845,0.25742574257425743,0.3235294117647059,0.1986015266232594,3.9510194106905003,0.2322766143824041,0.7760900909270649,0.07507063050854175,0.08046194135919071,0.06362950633754774,0.23098953069353775,six_month
core_comparable_fit,responded_strict,0.1,6,12135,911,1217,315,0.2588178949740816,0.21782178217821782,0.28217821782178215,0.3459455386939907,3.449556167100185,0.2322766143824041,0.7760900909270649,0.07507063050854175,0.08046194135919071,0.06362950633754774,0.23098953069353775,six_month
core_comparable_fit,responded_strict,0.2,6,12135,911,2430,484,0.19917161162182487,0.18518518518518517,0.2123456790123457,0.5310461088549042,2.6519626069132216,0.2322766143824041,0.7760900909270649,0.07507063050854175,0.08046194135919071,0.06362950633754774,0.23098953069353775,six_month
core_plus_history,responded_strict,0.05,6,12135,911,610,195,0.3196304924610108,0.25742574257425743,0.3564356435643564,0.21370781395656277,4.251041960432029,0.2540906319204809,0.7826465002253006,0.07507063050854175,0.07966211227008975,0.06300531399774818,0.22870397433953762,six_month
core_plus_history,responded_strict,0.1,6,12135,911,1217,322,0.26458932839096716,0.22772277227722773,0.29207920792079206,0.35355468703403586,3.5253528292558496,0.2540906319204809,0.7826465002253006,0.07507063050854175,0.07966211227008975,0.06300531399774818,0.22870397433953762,six_month
core_plus_history,responded_strict,0.2,6,12135,911,2430,503,0.20698058034069625,0.18271604938271604,0.22277227722772278,0.5515990710212498,2.7546241427997558,0.2540906319204809,0.7826465002253006,0.07507063050854175,0.07966211227008975,0.06300531399774818,0.22870397433953762,six_month
