model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss,stage
core_logistic,responded_strict,0.05,3,6075,451,305,87,0.285154986086844,0.25742574257425743,0.3137254901960784,0.192622379339127,3.836919265605436,0.22233139699197477,0.775780101171678,0.07423121407972523,0.08122757185924535,0.06318579984629223,0.22981275123584477,development
core_logistic,responded_strict,0.1,3,6075,451,609,153,0.2511869775792416,0.23267326732673269,0.26108374384236455,0.33906220847449303,3.3823539779934957,0.22233139699197477,0.775780101171678,0.07423121407972523,0.08122757185924535,0.06318579984629223,0.22981275123584477,development
core_logistic,responded_strict,0.2,3,6075,451,1216,237,0.19487787670899626,0.18610421836228289,0.2,0.5254264250994255,2.6250035491269146,0.22233139699197477,0.775780101171678,0.07423121407972523,0.08122757185924535,0.06318579984629223,0.22981275123584477,development
decile,responded_strict,0.05,3,6075,451,305,51,0.16718436549537308,0.15841584158415842,0.17647058823529413,0.11308882015024303,2.252283764156614,0.13543408909055055,0.7061945862324982,0.07423121407972523,,,,development
decile,responded_strict,0.1,3,6075,451,609,97,0.15918290612022665,0.12376237623762376,0.18137254901960784,0.21442529582167233,2.139296652396827,0.13543408909055055,0.7061945862324982,0.07423121407972523,,,,development
decile,responded_strict,0.2,3,6075,451,1216,188,0.15454155561682445,0.13399503722084366,0.16666666666666666,0.41619089703932827,2.0793198650909654,0.13543408909055055,0.7061945862324982,0.07423121407972523,,,,development
delivered_logistic,responded_strict,0.05,3,6075,451,305,96,0.3145991069695205,0.26732673267326734,0.37254901960784315,0.2122531546128541,4.22844733187935,0.24308659257586832,0.7797891842294201,0.07423121407972523,0.08093626041993705,0.0626302713404167,0.22792505517684658,development
delivered_logistic,responded_strict,0.1,3,6075,451,609,161,0.2642668425057516,0.22772277227722773,0.28921568627450983,0.35634899592478025,3.555021566671004,0.24308659257586832,0.7797891842294201,0.07423121407972523,0.08093626041993705,0.0626302713404167,0.22792505517684658,development
delivered_logistic,responded_strict,0.2,3,6075,451,1216,251,0.20638053800082048,0.19602977667493796,0.21323529411764705,0.5563509598860903,2.77949498867723,0.24308659257586832,0.7797891842294201,0.07423121407972523,0.08093626041993705,0.0626302713404167,0.22792505517684658,development
hcp_history_frozen,responded_strict,0.05,3,6075,451,305,63,0.20652947647705946,0.19607843137254902,0.22549019607843138,0.13978396425590414,2.7837027971207093,0.15305610762754238,0.6950858691038212,0.07423121407972523,0.06957889286671654,0.06759841384438081,0.7394663718194967,development
hcp_history_frozen,responded_strict,0.1,3,6075,451,609,126,0.20688356143641026,0.19306930693069307,0.22660098522167488,0.2794353611233859,2.7874450106796864,0.15305610762754238,0.6950858691038212,0.07423121407972523,0.06957889286671654,0.06759841384438081,0.7394663718194967,development
hcp_history_frozen,responded_strict,0.2,3,6075,451,1216,212,0.1743518263231525,0.16666666666666666,0.18765432098765433,0.4703765895811853,2.350010386333851,0.15305610762754238,0.6950858691038212,0.07423121407972523,0.06957889286671654,0.06759841384438081,0.7394663718194967,development
hcp_history_rolling_diagnostic,responded_strict,0.05,3,6075,451,305,67,0.21963372807869022,0.2079207920792079,0.22549019607843138,0.148518682181961,2.9580898134262497,0.15412784283183958,0.6966694384907948,0.07423121407972523,0.06924903146776563,0.0673845656746787,0.7177604195013818,development
