label_value,direction,rows,target,period,share_within_label
1,up,66,responded_strict,2025-08,0.49624060150375937
0,down,827,responded_strict,2025-09,0.47556066705002875
0,equal,3,responded_strict,2025-09,0.0017251293847038527
0,up,909,responded_strict,2025-09,0.5227142035652674
1,down,75,responded_strict,2025-09,0.5319148936170213
1,up,66,responded_strict,2025-09,0.46808510638297873
0,down,868,responded_strict,2025-10,0.5046511627906977
0,equal,1,responded_strict,2025-10,0.0005813953488372093
0,up,851,responded_strict,2025-10,0.4947674418604651
1,down,68,responded_strict,2025-10,0.46258503401360546
1,equal,1,responded_strict,2025-10,0.006802721088435374
1,up,78,responded_strict,2025-10,0.5306122448979592
0,down,15113,responded_loose,ALL,0.5010941644562334
0,equal,41,responded_loose,ALL,0.0013594164456233423
0,up,15006,responded_loose,ALL,0.49754641909814323
1,down,5520,responded_loose,ALL,0.49132176234979974
1,equal,8,responded_loose,ALL,0.0007120605251446373
1,up,5707,responded_loose,ALL,0.5079661771250557
0,down,663,responded_loose,2024-01,0.5015128593040847
0,equal,1,responded_loose,2024-01,0.0007564296520423601
0,up,658,responded_loose,2024-01,0.4977307110438729
1,down,239,responded_loose,2024-01,0.4353369763205829
1,up,310,responded_loose,2024-01,0.5646630236794171
0,down,694,responded_loose,2024-02,0.5159851301115241
0,equal,1,responded_loose,2024-02,0.0007434944237918215
0,up,650,responded_loose,2024-02,0.483271375464684
1,down,267,responded_loose,2024-02,0.5066413662239089
1,up,260,responded_loose,2024-02,0.49335863377609107
0,down,649,responded_loose,2024-03,0.4950419527078566
0,up,662,responded_loose,2024-03,0.5049580472921434
1,down,276,responded_loose,2024-03,0.4783362218370884
1,up,301,responded_loose,2024-03,0.5216637781629117
0,down,691,responded_loose,2024-04,0.5149031296572281
0,equal,4,responded_loose,2024-04,0.0029806259314456036
0,up,647,responded_loose,2024-04,0.4821162444113264
1,down,272,responded_loose,2024-04,0.5009208103130756
1,up,271,responded_loose,2024-04,0.4990791896869245
0,down,702,responded_loose,2024-05,0.5161764705882353
0,up,658,responded_loose,2024-05,0.4838235294117647
1,down,259,responded_loose,2024-05,0.487758945386064
1,up,272,responded_loose,2024-05,0.512241054613936
0,down,691,responded_loose,2024-06,0.5021802325581395
0,equal,2,responded_loose,2024-06,0.0014534883720930232
0,up,683,responded_loose,2024-06,0.49636627906976744
1,down,240,responded_loose,2024-06,0.46421663442940037
1,up,277,responded_loose,2024-06,0.5357833655705996
0,down,691,responded_loose,2024-07,0.4978386167146974
0,equal,2,responded_loose,2024-07,0.001440922190201729
0,up,695,responded_loose,2024-07,0.5007204610951008
1,down,245,responded_loose,2024-07,0.49
1,equal,1,responded_loose,2024-07,0.002
1,up,254,responded_loose,2024-07,0.508
0,down,738,responded_loose,2024-08,0.5160839160839161
0,equal,2,responded_loose,2024-08,0.0013986013986013986
0,up,690,responded_loose,2024-08,0.4825174825174825
1,down,229,responded_loose,2024-08,0.4989106753812636
1,up,230,responded_loose,2024-08,0.5010893246187363
0,down,715,responded_loose,2024-09,0.49860529986053
0,equal,1,responded_loose,2024-09,0.000697350069735007
0,up,718,responded_loose,2024-09,0.500697350069735
1,down,239,responded_loose,2024-09,0.5334821428571429
1,equal,2,responded_loose,2024-09,0.004464285714285714
1,up,207,responded_loose,2024-09,0.46205357142857145
0,down,724,responded_loose,2024-10,0.5073580939032937
0,equal,1,responded_loose,2024-10,0.000700770847932726
