period,capacity,left_model,right_model,left_selected,right_selected,shared_selected,left_only_selected,right_only_selected,shared_positives,left_only_positives,right_only_positives,jaccard,horizon
2025-11,0.05,decile,extended_logistic,101,101,34,67,67,7,3,24,0.20238095238095238,six_month
2025-11,0.1,core_logistic,decile,202,202,103,99,99,25,33,5,0.34219269102990035,six_month
2025-11,0.1,core_logistic,extended_logistic,202,202,169,33,33,50,8,5,0.7191489361702128,six_month
2025-11,0.1,decile,extended_logistic,202,202,96,106,106,22,8,33,0.3116883116883117,six_month
2025-11,0.2,core_logistic,decile,404,404,262,142,142,51,34,8,0.47985347985347987,six_month
2025-11,0.2,core_logistic,extended_logistic,404,404,347,57,57,77,8,7,0.7527114967462039,six_month
2025-11,0.2,decile,extended_logistic,404,404,253,151,151,50,9,34,0.45585585585585586,six_month
2025-12,0.05,core_logistic,decile,102,102,34,68,68,14,15,6,0.2,six_month
2025-12,0.05,core_logistic,extended_logistic,102,102,79,23,23,28,1,7,0.632,six_month
2025-12,0.05,decile,extended_logistic,102,102,30,72,72,15,5,20,0.1724137931034483,six_month
2025-12,0.1,core_logistic,decile,203,203,99,104,104,31,22,6,0.32247557003257327,six_month
2025-12,0.1,core_logistic,extended_logistic,203,203,166,37,37,46,7,6,0.6916666666666667,six_month
2025-12,0.1,decile,extended_logistic,203,203,96,107,107,30,7,22,0.3096774193548387,six_month
2025-12,0.2,core_logistic,decile,405,405,259,146,146,57,17,9,0.47005444646098005,six_month
2025-12,0.2,core_logistic,extended_logistic,405,405,350,55,55,72,2,5,0.7608695652173914,six_month
2025-12,0.2,decile,extended_logistic,405,405,258,147,147,58,8,19,0.4673913043478261,six_month
