window,fit_through,evaluate_from,evaluate_through,fitting_rows,evaluation_rows,strict_positives,loose_positives,unseen_hcp_rows
development,2025-05,2025-07,2025-09,34436,6075,451,1675,0
later_check,2025-08,2025-10,2025-12,40487,6060,460,1623,0
